,palavra,doc|ocorrencia
186,horário,"[(16, 1), (67, 1), (97, 1)]"
187,verão,"[(16, 1), (67, 1), (97, 1)]"
188,neste,"[(16, 1), (67, 1), (73, 1), (97, 1), (98, 1), (115, 1), (119, 1)]"
189,ano,"[(16, 1), (17, 1), (45, 1), (67, 1), (73, 1), (92, 1), (97, 1)]"
190,união,"[(17, 1), (20, 1), (45, 1), (60, 1), (92, 1), (103, 1)]"
191,européia,"[(17, 1), (45, 1), (92, 1)]"
192,ofereceu,"[(17, 1), (45, 1), (92, 1)]"
193,adiamento,"[(17, 1), (45, 1), (92, 1)]"
194,brexit,"[(17, 1), (45, 1), (92, 1)]"
195,membros,"[(18, 1), (66, 1), (111, 1)]"
196,coletivos,"[(18, 1), (66, 1), (111, 1)]"
197,milícias,"[(18, 1), (66, 1), (111, 1)]"
198,paramilitares,"[(18, 1), (66, 1), (111, 1)]"
199,disparam,"[(18, 1), (66, 1), (111, 1)]"
200,população,"[(18, 1), (66, 1), (111, 1)]"
201,protestos,"[(18, 1), (66, 1), (111, 1)]"
202,têm,"[(18, 1), (66, 1), (111, 1)]"
203,crachá,"[(18, 1), (66, 1), (111, 1)]"
204,identificação,"[(18, 1), (66, 1), (111, 1)]"
205,evento,"[(19, 1), (28, 1), (36, 1), (51, 1), (52, 1), (62, 1), (83, 1), (100, 1), (108, 1), (120, 1)]"
206,lide,"[(19, 1), (28, 1), (52, 1), (62, 1), (100, 1), (120, 1)]"
207,joão,"[(19, 1), (28, 1), (36, 1), (51, 1), (52, 1), (62, 1), (83, 1), (100, 1), (108, 1), (120, 1)]"
208,doria,"[(19, 1), (28, 1), (36, 1), (51, 1), (52, 1), (62, 1), (83, 1), (100, 1), (108, 1), (120, 1)]"
209,campos,"[(19, 1), (28, 1), (52, 1), (62, 1), (100, 1), (120, 1)]"
210,jordão,"[(19, 1), (28, 1), (52, 1), (62, 1), (100, 1), (120, 1)]"
211,empresários,"[(19, 1), (62, 1), (120, 1)]"
212,comentam,"[(19, 1), (62, 1), (120, 1)]"
213,bastidores,"[(19, 1), (62, 1), (120, 1)]"
214,melhor,"[(19, 1), (24, 1), (55, 1), (62, 1), (107, 1), (120, 1)]"
215,investir,"[(19, 1), (62, 1), (120, 1)]"
216,paraguai,"[(19, 1), (62, 1), (120, 1)]"
217,custo,"[(19, 1), (62, 1), (120, 1)]"
218,burocracia,"[(19, 1), (62, 1), (120, 1)]"
219,menores,"[(19, 1), (62, 1), (120, 1)]"
220,brasil,"[(19, 1), (24, 1), (54, 1), (55, 1), (62, 1), (82, 1), (105, 1), (107, 1), (120, 1)]"
221,advocacia,"[(20, 1), (60, 1), (103, 1)]"
222,geral,"[(20, 1), (60, 1), (103, 1)]"
223,pretende,"[(20, 1), (60, 1), (103, 1)]"
224,desistir,"[(20, 1), (60, 1), (103, 1)]"
225,recursos,"[(20, 1), (60, 1), (103, 1), (117, 1)]"
226,apresentados,"[(20, 1), (60, 1), (103, 1)]"
227,favor,"[(20, 1), (60, 1), (103, 1)]"
228,inss,"[(20, 1), (60, 1), (103, 1)]"
229,superior,"[(20, 1), (60, 1), (103, 1)]"
230,tribunal,"[(20, 1), (25, 1), (60, 1), (65, 1), (81, 1), (103, 1), (106, 1)]"
231,questionam,"[(20, 1), (60, 1), (103, 1)]"
232,concessão,"[(20, 1), (46, 1), (60, 1), (103, 1)]"
233,aposentadorias,"[(20, 1), (60, 1), (103, 1)]"
234,depoimento,"[(21, 1)]"
235,enviado,"[(21, 1)]"
236,oriundo,"[(21, 1)]"
237,pagamento,"[(21, 1)]"
238,propinas,"[(21, 1)]"
239,rio,"[(21, 1)]"
240,boicote,"[(22, 1), (56, 1), (85, 1), (109, 1)]"
241,cinemark,"[(22, 1), (56, 1), (85, 1), (109, 1)]"
242,globo,"[(22, 1), (56, 1), (71, 1), (74, 1), (85, 1), (109, 1)]"
243,deu,"[(22, 1), (56, 1), (85, 1), (109, 1)]"
244,certo,"[(22, 1), (56, 1), (85, 1), (109, 1)]"
245,nana,"[(23, 1), (48, 1), (84, 1), (121, 1)]"
246,caymmi,"[(23, 1), (48, 1), (84, 1), (121, 1)]"
247,lançando,"[(23, 1), (48, 1), (84, 1), (121, 1)]"
248,disco,"[(23, 1), (48, 1), (84, 1), (121, 1)]"
249,novo,"[(23, 1), (48, 1), (84, 1), (117, 1), (121, 1)]"
250,soltou,"[(23, 1), (48, 1), (84, 1), (121, 1)]"
251,verbo,"[(23, 1), (48, 1), (84, 1), (121, 1)]"
252,entrevista,"[(23, 1), (44, 1), (48, 1), (84, 1), (121, 1)]"
253,diz,"[(23, 1), (48, 1), (84, 1), (121, 1)]"
254,votado,"[(23, 1), (48, 1), (84, 1), (121, 1)]"
255,turno,"[(23, 1), (48, 1), (84, 1), (121, 1)]"
256,contramão,"[(23, 1), (48, 1), (84, 1), (121, 1)]"
257,maioria,"[(23, 1), (48, 1), (84, 1), (121, 1)]"
258,colegas,"[(23, 1), (48, 1), (84, 1), (121, 1)]"
259,artistas,"[(23, 1), (48, 1), (84, 1), (121, 1)]"
260,acostumando,"[(24, 1), (55, 1), (107, 1)]"
261,governo,"[(24, 1), (55, 1), (72, 1), (107, 1)]"
262,bozo,"[(24, 1), (55, 1), (107, 1)]"
263,naro,"[(24, 1), (55, 1), (107, 1)]"
264,palhaçada,"[(24, 1), (55, 1), (107, 1)]"
265,aumentar,"[(24, 1), (55, 1), (107, 1)]"
266,trapalhadas,"[(24, 1), (55, 1), (107, 1)]"
267,capitão,"[(24, 1), (55, 1), (72, 1), (107, 1)]"
268,ainda,"[(24, 1), (55, 1), (107, 1)]"
269,animado,"[(24, 1), (55, 1), (107, 1)]"
270,trio,"[(24, 1), (55, 1), (107, 1)]"
271,filhos,"[(24, 1), (55, 1), (107, 1)]"
272,moe,"[(24, 1), (55, 1), (107, 1)]"
273,larry,"[(24, 1), (55, 1), (107, 1)]"
274,shemp,"[(24, 1), (55, 1), (107, 1)]"
275,patetas,"[(24, 1), (55, 1), (107, 1)]"
276,votados,"[(24, 1), (55, 1), (107, 1)]"
277,stf,"[(25, 1), (65, 1), (81, 1), (106, 1), (118, 1)]"
278,supremo,"[(25, 1), (65, 1), (81, 1), (106, 1)]"
279,frango,"[(25, 1), (65, 1), (81, 1), (106, 1)]"
280,aprontou,"[(25, 1), (65, 1), (81, 1), (106, 1)]"
281,vai,"[(25, 1), (54, 1), (65, 1), (81, 1), (82, 1), (86, 1), (87, 1), (105, 1), (106, 1), (119, 1)]"
282,mandar,"[(25, 1), (65, 1), (81, 1), (106, 1)]"
283,pra,"[(25, 1), (65, 1), (81, 1), (106, 1)]"
284,eleitoral,"[(25, 1), (65, 1), (81, 1), (106, 1)]"
285,políticos,"[(25, 1), (65, 1), (81, 1), (106, 1)]"
286,acusados,"[(25, 1), (65, 1), (81, 1), (106, 1)]"
287,pensar,"[(25, 1), (65, 1), (81, 1), (106, 1)]"
288,caixa,"[(25, 2), (65, 2), (81, 2), (106, 2), (116, 1)]"
289,realmente,"[(25, 1), (65, 1), (81, 1), (106, 1)]"
290,juízes,"[(25, 1), (65, 1), (81, 1), (106, 1)]"
291,emendam,"[(25, 1), (65, 1), (81, 1), (106, 1)]"
292,porque,"[(25, 1), (54, 1), (65, 1), (81, 1), (82, 1), (105, 1), (106, 1)]"
293,emenda,"[(25, 1), (65, 1), (81, 1), (106, 1)]"
294,ser,"[(25, 1), (54, 1), (65, 1), (81, 1), (82, 1), (88, 1), (89, 1), (105, 1), (106, 1)]"
295,constitucional,"[(25, 1), (65, 1), (81, 1), (106, 1)]"
296,durou,"[(27, 1), (47, 1), (95, 1)]"
297,semana,"[(27, 1), (47, 1), (95, 1)]"
298,comitê,"[(27, 1), (47, 1), (95, 1)]"
299,ética,"[(27, 1), (47, 1), (95, 1)]"
300,criado,"[(27, 1), (47, 1), (95, 1)]"
301,google,"[(27, 1), (47, 1), (95, 1)]"
302,fiscalizar,"[(27, 1), (47, 1), (95, 1)]"
303,desenvolvimento,"[(27, 1), (47, 1), (95, 1)]"
304,área,"[(27, 1), (47, 1), (95, 1)]"
305,inteligência,"[(27, 1), (47, 1), (95, 1)]"
306,artificial,"[(27, 1), (47, 1), (95, 1)]"
307,fala,"[(28, 1), (52, 1), (100, 1)]"
308,reforma,"[(28, 1), (52, 1), (86, 1), (88, 1), (100, 1)]"
309,previdência,"[(28, 1), (52, 1), (86, 1), (100, 1)]"
310,quer,"[(29, 1), (64, 1), (93, 1), (116, 1)]"
311,salário,"[(29, 1), (64, 1), (93, 1)]"
312,mínimo,"[(29, 1), (64, 1), (93, 1)]"
313,corrigido,"[(29, 1), (64, 1), (93, 1)]"
314,apenas,"[(29, 1), (64, 1), (93, 1)]"
315,inflação,"[(29, 1), (64, 1), (93, 1)]"
316,aumento,"[(29, 1), (64, 1), (93, 1)]"
317,real,"[(29, 1), (64, 1), (93, 1)]"
318,receita,"[(30, 1), (42, 1), (119, 1)]"
319,federal,"[(30, 1), (43, 1), (54, 1), (82, 1), (105, 1), (118, 1), (119, 2)]"
320,acaba,"[(30, 1)]"
321,soltar,"[(30, 1)]"
322,nota,"[(30, 1)]"
323,informando,"[(30, 1)]"
324,servidores,"[(30, 1), (42, 1), (119, 1)]"
325,acessaram,"[(30, 1), (42, 1)]"
